,Duration,Checking account,Credit amount,Purpose,Job,Sex,data_source,Saving accounts,Housing,Risk,Age,Unnamed: 0
40,10.0,,2069,furniture/equipment,2.0,male,kaggle,,own,good,26,24.0
41,27.0,,,repairs,,,kaggle,,,good,,
42,12.0,,2012,education,2.0,female,kaggle,,own,good,61,96.0
43,15.0,,874,domestic appliances,2.0,female,kaggle,,own,good,24,873.0
44,12.0,moderate,2969,furniture/equipment,2.0,female,kaggle,little,rent,bad,25,707.0
45,9.0,rich,1126,radio/TV,2.0,,kaggle,,own,good,49,502.0
46,36.0,rich,4210,radio/TV,2.0,male,kaggle,little,own,bad,26,230.0
47,4.0,,601,furniture/equipment,1.0,female,kaggle,little,rent,good,23,837.0
48,,,,,1.0,male,kaggle,moderate,own,,39,478.0
49,36.0,little,5493,car,2.0,male,kaggle,little,free,good,42,501.0
50,24.0,,2463,car,2.0,male,kaggle,moderate,own,good,27,764.0
51,24.0,,2611,radio/TV,2.0,male,kaggle,little,own,good,46,839.0
52,6.0,moderate,2063,radio/TV,3.0,male,kaggle,little,rent,good,30,937.0
53,60.0,moderate,14782,vacation/others,3.0,female,kaggle,moderate,free,bad,60,374.0
54,12.0,little,1228,car,1.0,female,kaggle,little,own,bad,24,722.0
55,18.0,moderate,2779,car,2.0,male,kaggle,little,rent,good,21,425.0
56,72.0,moderate,5595,radio/TV,2.0,male,kaggle,moderate,own,bad,24,677.0
57,10.0,,1287,car,1.0,male,kaggle,,own,good,45,297.0
58,36.0,rich,4473,radio/TV,2.0,male,kaggle,little,own,good,31,328.0
59,20.0,moderate,,car,3.0,male,kaggle,,rent,good,36,99.0
60,15.0,rich,2327,radio/TV,1.0,female,kaggle,little,own,bad,25,834.0
61,6.0,moderate,1449,business,2.0,male,kaggle,moderate,own,good,31,110.0
62,6.0,little,662,car,1.0,male,kaggle,little,own,good,41,529.0
63,15.0,,1300,car,2.0,male,kaggle,,,good,45,609.0
64,18.0,little,,radio/TV,3.0,male,kaggle,little,own,good,32,644.0
65,18.0,,1505,radio/TV,3.0,male,kaggle,little,free,good,32,717.0
66,15.0,,1360,radio/TV,2.0,male,kaggle,little,own,good,31,185.0
67,18.0,little,1216,car,2.0,female,kaggle,little,rent,bad,23,831.0
68,12.0,moderate,1223,car,2.0,male,kaggle,little,rent,bad,46,398.0
69,36.0,moderate,7432,car,2.0,female,kaggle,little,rent,good,54,815.0
70,36.0,,7678,furniture/equipment,2.0,female,kaggle,quite rich,own,good,40,870.0
71,36.0,,4686,car,3.0,male,kaggle,little,free,good,32,511.0
72,12.0,,,furniture/equipment,,,kaggle,,,good,34,452.0
73,24.0,,5507,repairs,2.0,male,kaggle,little,free,good,44,520.0
74,4.0,,601,furniture/equipment,1.0,female,kaggle,little,rent,good,23,837.0
75,42.0,,4042,,2.0,male,kaggle,quite rich,own,good,36,628.0
76,24.0,,1287,car,2.0,female,kaggle,rich,own,good,37,437.0
77,,,,,,,kaggle,,,bad,33,416.0
78,45.0,little,1845,radio/TV,2.0,male,kaggle,little,free,bad,23,998.0
79,36.0,little,2746,furniture/equipment,2.0,male,kaggle,little,own,bad,31,315.0
80,6.0,,1221,furniture/equipment,2.0,male,kaggle,,own,good,27,792.0
81,12.0,moderate,,car,2.0,male,kaggle,,own,good,44,23.0
82,6.0,moderate,1050,furniture/equipment,3.0,male,kaggle,little,,good,35,663.0
83,24.0,rich,1377,radio/TV,2.0,female,kaggle,moderate,free,good,47,702.0
84,12.0,little,709,radio/TV,1.0,male,kaggle,little,own,bad,57,849.0
85,20.0,,3485,car,2.0,male,kaggle,,own,good,44,901.0
86,36.0,,909,car,2.0,male,kaggle,quite rich,own,good,36,164.0
87,10.0,,1597,car,1.0,male,kaggle,quite rich,,good,40,413.0
88,,,,,,,kaggle,,,bad,27,558.0
89,21.0,,2580,business,1.0,male,kaggle,quite rich,own,bad,41,674.0
90,24.0,,5511,furniture/equipment,2.0,male,kaggle,moderate,own,good,25,311.0
91,9.0,moderate,959,furniture/equipment,2.0,female,kaggle,little,own,bad,29,351.0
92,12.0,little,626,radio/TV,1.0,female,kaggle,little,own,bad,24,548.0
93,30.0,,4811,car,1.0,female,kaggle,,rent,good,24,306.0
94,48.0,moderate,7582,vacation/others,3.0,male,kaggle,moderate,free,good,31,287.0
95,10.0,,1231,car,1.0,male,kaggle,little,own,good,32,264.0
96,12.0,moderate,1410,education,1.0,male,kaggle,little,own,good,31,782.0
97,45.0,little,11816,business,2.0,male,kaggle,little,rent,bad,29,832.0
98,9.0,moderate,1670,radio/TV,2.0,female,kaggle,little,own,bad,22,931.0
99,6.0,little,3676,car,2.0,male,kaggle,little,rent,good,37,617.0
100,36.0,,10477,car,2.0,male,kaggle,,free,good,42,902.0
101,18.0,,6761,car,2.0,male,kaggle,,rent,bad,68,846.0
102,12.0,,701,education,2.0,male,kaggle,little,own,good,32,318.0
103,36.0,little,15857,vacation/others,3.0,male,kaggle,little,own,good,43,818.0
104,30.0,,5771,radio/TV,2.0,female,kaggle,little,own,good,25,753.0
105,24.0,,3235,radio/TV,3.0,male,kaggle,quite rich,own,good,26,408.0
106,24.0,little,1199,car,1.0,male,kaggle,,own,bad,60,13.0
107,18.0,,6761,car,2.0,male,kaggle,,rent,bad,68,846.0
108,24.0,,2255,car,2.0,male,kaggle,,own,,54,514.0
109,12.0,rich,,,2.0,,kaggle,quite rich,own,,28,409.0
110,10.0,moderate,1048,radio/TV,1.0,male,kaggle,little,own,good,23,741.0
111,12.0,moderate,685,car,1.0,male,kaggle,little,own,bad,25,313.0
112,8.0,moderate,1237,furniture/equipment,2.0,female,kaggle,little,own,bad,24,308.0
113,24.0,,5804,car,2.0,male,kaggle,rich,own,good,27,860.0
114,24.0,moderate,1837,education,1.0,female,kaggle,little,free,bad,34,602.0
115,24.0,rich,1275,business,2.0,male,kaggle,rich,own,good,36,729.0
116,18.0,moderate,3001,furniture/equipment,2.0,female,kaggle,little,rent,good,40,369.0
117,22.0,,1283,car,2.0,female,kaggle,,rent,good,25,382.0
118,21.0,,2993,car,1.0,male,kaggle,little,own,good,28,841.0
119,11.0,moderate,4771,radio/TV,2.0,male,kaggle,little,own,good,51,77.0
120,10.0,,2901,car,2.0,female,kaggle,,rent,good,31,767.0
121,24.0,little,3345,furniture/equipment,3.0,male,kaggle,little,rent,bad,39,919.0
122,9.0,,2406,furniture/equipment,3.0,male,kaggle,little,own,good,31,394.0
123,12.0,,2748,education,1.0,female,kaggle,little,free,good,57,263.0
124,6.0,,1538,education,2.0,female,kaggle,little,own,good,56,680.0
125,12.0,,1555,repairs,2.0,male,kaggle,rich,free,bad,55,754.0
126,13.0,moderate,882,radio/TV,2.0,male,kaggle,little,own,good,23,346.0
127,24.0,moderate,2825,business,2.0,male,kaggle,,own,good,34,886.0
128,24.0,,3621,radio/TV,2.0,male,kaggle,moderate,own,bad,31,949.0
129,48.0,little,6758,radio/TV,2.0,female,kaggle,little,own,bad,31,569.0
130,12.0,,3059,radio/TV,1.0,male,kaggle,rich,own,good,61,8.0
131,12.0,little,708,furniture/equipment,1.0,male,kaggle,little,own,good,38,316.0
132,48.0,,10127,car,2.0,male,kaggle,quite rich,free,bad,44,304.0
133,18.0,,1149,radio/TV,2.0,male,kaggle,rich,own,good,46,427.0
134,24.0,moderate,11938,vacation/others,3.0,male,kaggle,little,own,bad,39,105.0
135,24.0,little,6872,furniture/equipment,2.0,male,kaggle,little,own,bad,55,924.0
136,24.0,,3868,car,3.0,female,kaggle,little,rent,good,41,121.0
137,24.0,,2424,radio/TV,2.0,male,kaggle,,own,good,53,16.0
138,6.0,,1346,radio/TV,2.0,male,kaggle,moderate,free,good,42,150.0
139,12.0,little,1620,furniture/equipment,2.0,female,kaggle,little,own,good,30,441.0
140,10.0,,1364,car,2.0,female,kaggle,little,own,good,64,219.0
141,48.0,,3578,radio/TV,2.0,male,kaggle,,own,good,47,115.0
142,48.0,moderate,18424,vacation/others,3.0,female,kaggle,little,own,bad,32,915.0
143,15.0,,2221,furniture/equipment,2.0,female,kaggle,quite rich,rent,good,20,865.0
144,24.0,,1249,car,2.0,male,kaggle,little,own,good,28,847.0
145,,,,,,,kaggle,,,,,
146,30.0,moderate,76543456,radio/TV,2.0,female,kaggle,,own,good,26,965.0
147,12.0,little,1409,car,2.0,male,kaggle,little,own,good,54,91.0
148,15.0,,5324,car,2.0,female,kaggle,quite rich,free,good,35,705.0
149,24.0,moderate,1965,car,2.0,female,kaggle,,rent,good,42,591.0
150,6.0,,1204,car,2.0,male,kaggle,moderate,rent,good,35,247.0
151,12.0,moderate,1860,car,3.0,male,kaggle,little,own,good,34,128.0
152,21.0,,2580,business,1.0,male,kaggle,quite rich,own,bad,41,674.0
153,21.0,,3160,radio/TV,2.0,male,kaggle,,own,good,41,742.0
154,48.0,little,6999,radio/TV,2.0,male,kaggle,little,own,bad,34,552.0
155,36.0,,12612,education,2.0,male,kaggle,moderate,free,bad,47,87.0
156,15.0,moderate,2728,radio/TV,2.0,male,kaggle,,own,good,35,138.0
157,12.0,little,697,car,2.0,male,kaggle,little,own,bad,46,925.0
158,7.0,,730,radio/TV,1.0,male,kaggle,,rent,good,46,71.0
159,12.0,little,2579,car,1.0,male,kaggle,little,own,bad,33,416.0
160,42.0,little,7882,furniture/equipment,2.0,male,kaggle,little,free,good,45,3.0
161,24.0,,3621,radio/TV,2.0,male,kaggle,moderate,own,bad,31,949.0
162,18.0,rich,2864,furniture/equipment,1.0,male,kaggle,little,own,bad,34,543.0
163,15.0,little,806,business,1.0,female,kaggle,little,own,good,22,573.0
164,18.0,,,car,,,kaggle,,,good,,
165,12.0,little,2122,car,1.0,male,kaggle,little,rent,good,39,494.0
166,16.0,little,2625,car,2.0,male,kaggle,little,rent,bad,43,900.0
167,18.0,little,3509,radio/TV,2.0,female,kaggle,little,own,good,25,777.0
168,12.0,little,1680,radio/TV,2.0,male,kaggle,quite rich,own,good,35,114.0
169,6.0,,1338,domestic appliances,2.0,male,kaggle,quite rich,own,good,62,816.0
170,7.0,,,radio/TV,,,kaggle,,,good,,
171,48.0,,,business,,,kaggle,,,bad,,
172,18.0,moderate,5866,car,2.0,male,kaggle,moderate,own,good,30,32.0
173,12.0,little,1282,furniture/equipment,2.0,female,kaggle,little,rent,bad,20,155.0
174,30.0,,3077,radio/TV,2.0,male,kaggle,,own,good,40,716.0
175,15.0,,1316,radio/TV,1.0,male,kaggle,quite rich,own,good,47,726.0
176,36.0,,4463,radio/TV,3.0,male,kaggle,little,own,bad,26,357.0
177,24.0,little,3123,car,2.0,female,kaggle,little,own,bad,27,500.0
178,18.0,,1800,radio/TV,2.0,male,kaggle,little,own,good,24,698.0
179,9.0,moderate,1154,radio/TV,1.0,male,kaggle,little,own,good,37,957.0
180,36.0,little,5493,car,2.0,male,kaggle,little,free,good,42,501.0
181,14.0,little,3973,car,2.0,male,kaggle,little,free,good,22,655.0
182,30.0,little,10623,car,3.0,male,kaggle,little,free,good,38,205.0
183,11.0,,2142,business,2.0,male,kaggle,rich,own,good,28,913.0
184,36.0,little,9629,car,2.0,male,kaggle,little,own,bad,24,812.0
185,21.0,,5003,car,2.0,female,kaggle,,own,bad,29,557.0
186,7.0,,846,radio/TV,2.0,male,kaggle,,free,good,36,377.0
187,21.0,rich,2319,education,2.0,male,kaggle,little,rent,bad,33,535.0
188,18.0,little,1442,car,1.0,male,kaggle,little,free,bad,32,853.0
189,6.0,little,4716,car,1.0,male,kaggle,,own,good,44,693.0
190,24.0,moderate,2760,car,2.0,male,kaggle,,free,good,36,198.0
191,24.0,little,1546,radio/TV,1.0,male,kaggle,little,rent,bad,24,561.0
192,60.0,,10366,car,3.0,male,kaggle,little,own,good,42,672.0
193,12.0,little,385,radio/TV,1.0,female,kaggle,little,own,good,58,590.0
194,6.0,,700,radio/TV,2.0,male,kaggle,,free,,36,519.0
195,8.0,moderate,1237,furniture/equipment,2.0,female,kaggle,little,own,bad,24,308.0
196,12.0,moderate,1995,car,2.0,male,kaggle,moderate,own,good,27,553.0
197,30.0,,4530,radio/TV,3.0,female,kaggle,little,rent,good,26,675.0
198,42.0,moderate,9283,car,3.0,male,kaggle,little,free,good,55,808.0
199,36.0,,,furniture/equipment,,,kaggle,,,bad,,
200,24.0,,2611,radio/TV,2.0,male,kaggle,little,own,good,46,839.0
201,,,,,2.0,female,kaggle,little,own,,29,
202,12.0,moderate,1424,domestic appliances,2.0,male,kaggle,little,own,good,26,207.0
203,21.0,,2476,car,3.0,male,kaggle,,own,good,46,712.0
204,9.0,,,education,,,kaggle,,,good,41,445.0
205,24.0,rich,947,car,2.0,male,kaggle,little,free,bad,38,648.0
206,15.0,,1262,domestic appliances,2.0,male,kaggle,quite rich,own,good,36,162.0
207,11.0,little,3905,car,2.0,male,kaggle,little,rent,good,36,456.0
208,12.0,moderate,1424,domestic appliances,2.0,male,kaggle,little,own,good,26,207.0
209,6.0,,1236,car,2.0,male,kaggle,quite rich,rent,good,50,695.0
210,24.0,,2684,radio/TV,1.0,male,kaggle,little,own,good,35,256.0
211,15.0,rich,2360,car,2.0,male,kaggle,quite rich,own,,36,506.0
212,24.0,little,3632,car,2.0,female,kaggle,little,rent,good,22,
213,36.0,little,8229,car,2.0,male,kaggle,little,own,bad,26,983.0
214,12.0,little,1274,car,1.0,female,kaggle,little,own,bad,37,747.0
215,15.0,,5324,car,2.0,female,kaggle,quite rich,free,good,35,705.0
216,10.0,rich,781,car,2.0,male,kaggle,little,free,good,63,123.0
217,9.0,,2134,car,2.0,male,kaggle,little,own,,48,20.0
218,60.0,,10366,car,3.0,male,kaggle,little,own,good,42,672.0
219,24.0,,1258,business,2.0,male,kaggle,little,own,good,25,245.0
220,18.0,moderate,12976,car,3.0,female,kaggle,little,free,bad,38,381.0
221,48.0,little,7763,car,3.0,male,kaggle,little,free,bad,42,538.0
222,24.0,little,6579,car,,,kaggle,little,free,good,29,988.0
223,12.0,little,4843,car,2.0,male,kaggle,little,rent,bad,43,668.0
224,,little,1755,vacation/others,1.0,female,kaggle,little,own,good,58,83.0
225,24.0,,2603,car,2.0,female,kaggle,rich,rent,good,28,733.0
226,18.0,moderate,6361,furniture/equipment,2.0,male,kaggle,little,own,good,41,659.0
227,48.0,little,6331,car,2.0,male,kaggle,little,free,bad,46,701.0
228,12.0,,1495,car,1.0,male,kaggle,little,own,good,38,204.0
229,18.0,,2662,car,2.0,male,kaggle,,own,good,32,270.0
230,24.0,rich,2892,furniture/equipment,2.0,male,kaggle,little,free,good,51,793.0
231,24.0,little,1442,car,2.0,female,kaggle,little,rent,bad,23,596.0
232,24.0,little,,furniture/equipment,2.0,male,kaggle,little,rent,bad,23,334.0
233,24.0,moderate,3512,car,2.0,male,kaggle,moderate,own,good,38,158.0
234,36.0,little,3959,furniture/equipment,3.0,male,kaggle,little,own,good,30,993.0
235,24.0,,,car,,,kaggle,,,bad,31,454.0
236,18.0,little,1190,repairs,0.0,female,kaggle,little,free,bad,55,429.0
237,6.0,little,860,car,2.0,female,kaggle,little,own,good,39,146.0
238,60.0,moderate,14027,car,3.0,male,kaggle,little,own,bad,27,714.0
239,6.0,,250,car,1.0,female,kaggle,rich,own,good,41,725.0
240,6.0,little,343,domestic appliances,2.0,female,kaggle,little,own,good,27,458.0
241,54.0,,9436,car,1.0,male,kaggle,,own,good,39,78.0
242,36.0,,5742,business,2.0,male,kaggle,moderate,own,good,31,671.0
243,18.0,moderate,5866,car,2.0,,kaggle,moderate,own,good,30,32.0
244,6.0,moderate,454,repairs,1.0,male,kaggle,little,own,good,22,964.0
245,15.0,little,1845,furniture/equipment,2.0,female,kaggle,little,rent,good,46,944.0
246,12.0,little,2214,radio/TV,1.0,male,kaggle,little,own,good,24,762.0
247,20.0,little,2212,furniture/equipment,2.0,male,kaggle,,own,good,39,380.0
248,48.0,moderate,10961,6,2.0,male,kaggle,rich,own,bad,27,226.0
249,12.0,moderate,1922,furniture/equipment,1.0,male,kaggle,little,own,bad,37,651.0
250,30.0,,7596,car,2.0,male,kaggle,,own,good,63,715.0
251,24.0,little,1371,car,2.0,female,kaggle,,rent,bad,25,775.0
252,10.0,rich,1347,radio/TV,2.0,male,kaggle,,own,good,27,686.0
253,12.0,moderate,,furniture/equipment,1.0,male,kaggle,little,own,bad,37,651.0
254,48.0,moderate,8358,car,2.0,female,kaggle,quite rich,own,good,30,945.0
255,6.0,,1543,furniture/equipment,2.0,male,kaggle,rich,own,good,33,305.0
256,12.0,,1413,car,2.0,male,kaggle,rich,own,good,55,209.0
257,12.0,,3331,furniture/equipment,2.0,male,kaggle,little,own,good,42,867.0
258,33.0,little,4281,furniture/equipment,2.0,female,kaggle,quite rich,own,bad,23,118.0
259,24.0,little,6579,car,3.0,male,kaggle,little,free,good,29,988.0
260,16.0,little,2625,car,2.0,male,kaggle,little,rent,bad,43,900.0
261,15.0,,1459,radio/TV,1.0,female,kaggle,little,own,good,43,345.0
262,24.0,,2611,radio/TV,2.0,male,kaggle,little,own,good,46,839.0
263,24.0,,1901,radio/TV,3.0,male,kaggle,moderate,rent,good,29,279.0
264,,,,,,,kaggle,,,good,29,562.0
265,24.0,,4139,business,1.0,male,kaggle,moderate,own,good,27,670.0
266,30.0,moderate,2503,business,2.0,male,kaggle,moderate,own,good,41,703.0
267,15.0,moderate,1514,repairs,2.0,male,kaggle,moderate,own,good,22,970.0
268,15.0,,960,furniture/equipment,2.0,female,kaggle,rich,own,good,30,483.0
269,24.0,,717,car,2.0,male,kaggle,,own,good,54,798.0
270,12.0,little,1262,furniture/equipment,1.0,male,kaggle,,own,good,49,277.0
271,15.0,,1478,radio/TV,2.0,male,kaggle,little,own,good,33,682.0
272,12.0,little,1200,education,2.0,female,kaggle,,rent,good,23,221.0
273,42.0,moderate,9283,car,3.0,male,kaggle,little,free,good,55,808.0
274,30.0,,5954,radio/TV,2.0,male,kaggle,little,own,good,38,571.0
275,33.0,,7253,,3.0,male,kaggle,little,own,,35,411.0
276,21.0,moderate,2353,car,2.0,male,kaggle,little,own,good,47,961.0
277,30.0,moderate,2150,car,2.0,female,kaggle,little,own,bad,24,252.0
278,18.0,little,2039,furniture/equipment,2.0,female,kaggle,little,rent,bad,20,585.0
279,36.0,moderate,7432,car,2.0,female,kaggle,little,rent,good,54,815.0
280,,moderate,753,radio/TV,2.0,female,kaggle,little,own,good,64,976.0
281,24.0,,4139,business,1.0,male,kaggle,moderate,own,good,27,670.0
282,6.0,,426,radio/TV,1.0,male,kaggle,little,own,good,39,26.0
283,21.0,,2580,business,1.0,male,kaggle,quite rich,own,bad,41,674.0
284,9.0,,1980,furniture/equipment,2.0,female,kaggle,,rent,bad,19,633.0
285,7.0,moderate,2576,radio/TV,2.0,male,kaggle,little,own,good,35,447.0
286,24.0,,717,car,2.0,male,kaggle,,own,good,54,798.0
287,12.0,little,759,car,2.0,male,kaggle,little,own,bad,26,510.0
288,15.0,little,950,car,2.0,male,kaggle,little,rent,bad,33,170.0
289,30.0,moderate,1715,radio/TV,2.0,female,kaggle,,own,good,26,965.0
290,18.0,,1568,business,1.0,female,kaggle,moderate,rent,good,24,82.0
291,30.0,little,2406,furniture/equipment,2.0,female,kaggle,little,rent,bad,23,359.0
292,24.0,,1597,education,2.0,male,kaggle,little,free,good,54,800.0
293,,,,car,,,kaggle,,,good,,
294,18.0,,629,radio/TV,3.0,male,kaggle,quite rich,own,good,32,710.0
295,48.0,moderate,-456789,business,2.0,male,kaggle,,free,good,38,829.0
296,48.0,,7629,business,3.0,male,kaggle,,own,good,46,294.0
297,24.0,little,1381,car,2.0,female,kaggle,,own,bad,35,414.0
298,18.0,little,1217,domestic appliances,1.0,male,kaggle,little,own,bad,47,588.0
299,,,,,2.0,female,kaggle,little,free,,62,487.0
300,21.0,,1572,business,1.0,female,kaggle,rich,own,good,36,592.0
301,20.0,little,4272,furniture/equipment,2.0,female,kaggle,little,own,good,24,802.0
302,24.0,,6314,vacation/others,3.0,male,kaggle,,own,good,27,665.0
303,21.0,,3652,business,2.0,male,kaggle,little,own,good,27,620.0
304,12.0,,3527,car,3.0,male,kaggle,,own,good,45,940.0
305,6.0,,660,repairs,1.0,male,kaggle,quite rich,rent,good,23,436.0
306,12.0,,930,radio/TV,2.0,male,kaggle,,own,good,65,807.0
307,10.0,moderate,7308,car,3.0,male,kaggle,little,free,good,70,163.0
308,6.0,little,1957,radio/TV,2.0,female,kaggle,little,own,good,31,393.0
309,24.0,,1474,car,2.0,male,kaggle,moderate,own,good,33,855.0
310,24.0,,3105,radio/TV,2.0,male,kaggle,,own,good,25,534.0
311,18.0,moderate,1913,business,2.0,male,kaggle,rich,own,good,,30.0
312,39.0,little,14179,furniture/equipment,3.0,male,kaggle,,own,good,30,744.0
313,12.0,little,1107,radio/TV,3.0,male,kaggle,little,rent,good,20,905.0
314,15.0,little,2511,car,2.0,female,kaggle,little,rent,good,23,746.0
315,9.0,moderate,1501,education,3.0,female,kaggle,little,own,bad,34,195.0
316,30.0,little,3108,furniture/equipment,1.0,male,kaggle,little,own,bad,31,766.0
317,20.0,moderate,6148,car,2.0,male,kaggle,moderate,own,good,31,719.0
318,48.0,little,10297,car,2.0,male,kaggle,little,free,bad,39,927.0
319,6.0,,2978,furniture/equipment,2.0,male,kaggle,quite rich,own,good,32,165.0
320,24.0,,,car,,,kaggle,,,good,,
321,9.0,moderate,1136,education,2.0,male,kaggle,rich,free,bad,32,349.0
322,24.0,,2978,business,2.0,male,kaggle,,own,good,32,223.0
323,6.0,little,1203,car,2.0,,kaggle,moderate,own,,43,518.0
324,10.0,rich,3949,car,1.0,male,kaggle,little,own,good,37,344.0
325,18.0,moderate,2278,car,2.0,female,kaggle,moderate,own,bad,28,556.0
326,18.0,,2169,business,2.0,male,kaggle,little,own,bad,28,861.0
327,18.0,,1028,car,2.0,female,kaggle,little,own,good,36,324.0
328,6.0,,1538,education,2.0,female,kaggle,little,own,good,56,680.0
329,15.0,,3368,car,2.0,male,kaggle,rich,rent,good,23,280.0
330,48.0,little,10297,car,2.0,male,kaggle,little,free,bad,39,927.0
331,18.0,,3229,car,3.0,male,kaggle,,own,good,38,352.0
332,12.0,little,1409,car,2.0,male,kaggle,little,own,good,54,91.0
333,6.0,,6761,car,3.0,male,kaggle,little,own,good,45,738.0
334,24.0,little,1358,vacation/others,3.0,male,kaggle,,own,bad,40,594.0
335,21.0,,2993,car,1.0,male,kaggle,little,own,good,28,841.0
336,12.0,,2859,car,3.0,male,kaggle,,own,good,38,947.0
337,24.0,little,1603,radio/TV,2.0,female,kaggle,little,own,good,55,261.0
338,36.0,,3342,radio/TV,2.0,male,kaggle,,own,good,51,214.0
339,21.0,,5248,car,2.0,male,kaggle,,own,good,26,748.0
340,18.0,,4165,business,2.0,male,kaggle,little,own,bad,36,827.0
341,18.0,little,1216,car,2.0,female,kaggle,little,rent,bad,23,831.0
342,24.0,,2578,radio/TV,2.0,male,kaggle,rich,own,good,34,567.0
343,9.0,,3577,car,2.0,male,kaggle,moderate,rent,good,26,859.0
344,6.0,moderate,1068,radio/TV,2.0,male,kaggle,little,own,good,28,329.0
345,,,,,,,kaggle,,,,,
346,36.0,,10875,car,2.0,male,kaggle,little,own,good,45,854.0
347,21.0,moderate,98765434567,car,2.0,male,kaggle,little,own,good,47,961.0
348,30.0,little,3857,car,3.0,male,kaggle,little,own,good,40,996.0
349,6.0,,672,car,0.0,female,kaggle,little,own,good,54,300.0
350,8.0,moderate,907,business,2.0,male,kaggle,little,own,good,26,810.0
351,18.0,little,2124,furniture/equipment,2.0,female,kaggle,little,rent,bad,24,761.0
352,48.0,little,6331,car,2.0,male,kaggle,little,free,bad,46,701.0
353,15.0,,1829,radio/TV,2.0,male,kaggle,little,own,good,46,891.0
354,24.0,,2255,car,2.0,male,kaggle,,own,good,54,514.0
355,36.0,little,2746,furniture/equipment,2.0,male,kaggle,little,own,bad,31,315.0
356,24.0,,2255,car,2.0,male,kaggle,,own,,54,514.0
357,24.0,,2670,car,3.0,male,kaggle,little,own,good,35,453.0
358,9.0,moderate,918,furniture/equipment,2.0,female,kaggle,little,own,bad,30,601.0
359,30.0,,7485,car,3.0,female,kaggle,,own,bad,53,175.0
360,36.0,little,3446,furniture/equipment,2.0,male,kaggle,little,own,bad,42,368.0
361,15.0,little,2511,car,2.0,female,kaggle,little,rent,good,23,746.0
362,18.0,rich,2100,,2.0,male,kaggle,little,own,bad,37,37.0
363,10.0,rich,781,car,2.0,male,kaggle,little,free,good,63,123.0
364,24.0,,3181,radio/TV,2.0,female,kaggle,little,own,good,26,64.0
365,9.0,,2406,furniture/equipment,3.0,male,kaggle,little,own,good,31,394.0
